在飞钓中，使用柔性竿移动并展开有重量的线来推进假饵的过程称为什么？,飞钓抛投 (Fly Casting)。
飞钓主线在抛投过程中超过竿尖时呈现出的形状称为什么？,线环 (Loop)。
在线环中，从毛钩到线环鼻（Loop Nose）之间的移动部分称为什么？,毛钩腿 (Fly Leg)。
在线环中，从竿尖到线环鼻之间的部分称为什么？,竿腿 (Rod Leg)。
线环前端的弯曲部分，即毛钩腿与竿腿之间的过渡带称为什么？,线环鼻 (Loop Nose)。
具有远离竿腿的圆顶形配置，且毛钩腿和前导线相对没有弯曲的线环称为什么？,直线毛钩腿 (Straight Fly Leg)。
什么是“追尾线环”（Tailing Loop）？,具有凹形毛钩腿的线环，其毛钩腿向竿腿下沉并与之交叉。
抛投行程中，鱼竿根部发生的线性位置变化称为什么？,平移 (Translation)。
抛投行程中，鱼竿根部发生的角度位置变化称为什么？,旋转 (Rotation)。
足以形成线环的鱼竿根部的旋转或平移组合动作称为什么？,抛投行程 (Casting Stroke)。
在抛投行程中，鱼竿根部转动的角度变化称为什么？,抛投弧度 (Casting Arc)。
导致线环形成的鱼竿减速动作称为什么？,停止 (Stop)。
在每个抛投行程开始时，预期的竿尖路径、飞钓主线与目标在水平和垂直方向上需保持什么关系？,180 度原则 (180 Degree Principle)。
在抛投停顿期间，将竿尖朝当前抛投方向移动的动作称为什么？,漂移/随动 (Drift)。
导致抛投错误的“偷跑”或提前向下一个抛投方向移动的动作称为什么？,Creep。
在最后一次抛投后，向前并向下移动飞钓竿的动作称为什么？,跟进 (Follow-Through)。
在远距离抛投中，为了增加行程长度（Stroke Length），优秀的抛投者通常会加入什么身体动作？,身体摇摆 (Rocking the body)。
在远距离抛投中，为什么要“延迟旋转”（Delayed Rotation）？,为了在抛投行程末端获得更高的速度，防止线在空中倾倒。
在抛投停止后释放主线，以增加竿尖外线路长度的技术称为什么？,出线 (Shooting line)。
双拉动作（Double Haul）通常能为总抛投距离增加大约百分之多少？,约 15%。
